"행정구역별",2007,2007,2007,2008,2008,2008,2009,2009,2009,2010,2010,2010,2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022,2023,2023,2023,2024,2024,2024
"행정구역별",인구 천명당 의료기관 종사 의사수<br>(A÷B×1000),의료기관 종사 의사수<br>(A),주민등록인구<br>(B),인구 천명당 의료기관 종사 의사수<br>(A÷B×1000),의료기관 종사 의사수<br>(A),주민등록인구<br>(B),인구 천명당 의료기관 종사 의사수<br>(A÷B×1000),의료기관 종사 의사수<br>(A),주민등록인구<br>(B),인구 천명당 의료기관 종사 의사수<br>(A÷B×1000),의료기관 종사 의사수<br>(A),주민등록인구<br>(B),인구 천명당 의료기관 종사 의사수<br>(A÷B×1000),의료기관 종사 의사수<br>(A),주민등록인구<br>(B),인구 천명당 의료기관 종사 의사수<br>(A÷B×1000),의료기관 종사 의사수<br>(A),주민등록인구<br>(B),인구 천명당 의료기관 종사 의사수<br>(A÷B×1000),의료기관 종사 의사수<br>(A),주민등록인구<br>(B),인구 천명당 의료기관 종사 의사수<br>(A÷B×1000),의료기관 종사 의사수<br>(A),주민등록인구<br>(B),인구 천명당 의료기관 종사 의사수<br>(A÷B×1000),의료기관 종사 의사수<br>(A),주민등록인구<br>(B),인구 천명당 의료기관 종사 의사수<br>(A÷B×1000),의료기관 종사 의사수<br>(A),주민등록인구<br>(B),인구 천명당 의료기관 종사 의사수<br>(A÷B×1000),의료기관 종사 의사수<br>(A),주민등록인구<br>(B),인구 천명당 의료기관 종사 의사수<br>(A÷B×1000),의료기관 종사 의사수<br>(A),주민등록인구<br>(B),인구 천명당 의료기관 종사 의사수<br>(A÷B×1000),의료기관 종사 의사수<br>(A),주민등록인구<br>(B),인구 천명당 의료기관 종사 의사수<br>(A÷B×1000),의료기관 종사 의사수<br>(A),주민등록인구<br>(B),인구 천명당 의료기관 종사 의사수<br>(A÷B×1000),의료기관 종사 의사수<br>(A),주민등록인구<br>(B),인구 천명당 의료기관 종사 의사수<br>(A÷B×1000),의료기관 종사 의사수<br>(A),주민등록인구<br>(B),인구 천명당 의료기관 종사 의사수<br>(A÷B×1000),의료기관 종사 의사수<br>(A),주민등록인구<br>(B),인구 천명당 의료기관 종사 의사수<br>(A÷B×1000),의료기관 종사 의사수<br>(A),주민등록인구<br>(B)
"전국",2.1,103556,49268928,2.2,110283,49540367,2.3,115087,49773145,2.4,119229,50515666,2.4,122780,50734284,2.5,126002,50948272,2.6,131391,51141463,2.6,134646,51327916,2.7,137862,51529338,2.7,141600,51696216,2.8,145930,51778544,2.9,149022,51826059,3.0,153744,51849861,3.0,156992,51829023,3.1,159970,51638809,3.2,163115,51439038,3.2,166197,51325329,3.2,161752,51217221
"서울특별시",2.9,29750,10192710,3.2,32138,10200827,3.3,33686,10208302,3.4,35065,10312545,3.5,35632,10249679,3.6,36289,10195318,3.8,38190,10143645,3.8,38625,10103233,3.9,39026,10022181,4.0,39640,9930616,4.1,40597,9857426,4.2,41369,9765623,4.4,42685,9729107,4.5,43581,9668465,4.7,44717,9509458,4.8,45440,9428372,5.0,46624,9386034,4.7,43547,9331828
"부산광역시",2.3,8268,3587439,2.4,8546,3564577,2.5,8710,3543030,2.6,9126,3567910,2.7,9506,3550963,2.8,9788,3538484,2.9,10171,3527635,3.0,10458,3519401,3.1,10745,3513777,3.1,10929,3498529,3.2,11092,3470653,3.3,11246,3441453,3.4,11456,3413841,3.4,11610,3391946,3.5,11778,3350380,3.6,11982,3317812,3.7,12120,3293362,3.6,11812,3266598
"대구광역시",2.4,6085,2493261,2.6,6421,2492724,2.6,6591,2489781,2.7,6744,2511676,2.7,6856,2507271,2.8,7068,2505644,2.9,7225,2501588,3.0,7360,2493264,3.0,7557,2487829,3.1,7792,2484557,3.2,7930,2475231,3.3,8137,2461769,3.4,8384,2438031,3.5,8523,2418346,3.6,8661,2385412,3.7,8810,2363691,3.8,9006,2374960,3.6,8604,2363629
"인천광역시",1.7,4497,2664576,1.8,4732,2692696,1.8,4949,2710579,1.8,5002,2758296,1.9,5263,2801274,1.9,5469,2843981,2.0,5738,2879782,2.1,6075,2902608,2.1,6279,2925815,2.2,6465,2943069,2.3,6809,2948542,2.4,7088,2954642,2.5,7366,2957026,2.5,7486,2942828,2.6,7621,2948375,2.6,7857,2967314,2.7,8187,2997410,2.7,8275,3021010
"광주광역시",2.6,3728,1413444,2.7,3819,1422702,2.7,3879,1433640,2.8,4134,1454636,3.0,4355,1463464,3.0,4428,1469216,3.1,4581,1472910,3.2,4740,1475884,3.3,4885,1472199,3.5,5104,1469214,3.6,5211,1463770,3.6,5222,1459336,3.7,5390,1456468,3.7,5424,1450062,3.7,5382,1441611,3.8,5488,1431050,3.9,5552,1419237,3.8,5390,1408422
"대전광역시",2.4,3615,1475659,2.6,3890,1480895,2.7,4070,1484180,2.8,4181,1503664,2.8,4296,1515603,3.0,4515,1524583,3.0,4633,1532811,3.1,4762,1531809,3.2,4879,1518775,3.3,4962,1514370,3.4,5086,1502227,3.5,5198,1489936,3.6,5319,1474870,3.6,5302,1463882,3.7,5348,1452251,3.7,5406,1446072,3.8,5419,1442216,3.6,5139,1439157
"울산광역시",1.7,1867,1099995,1.8,1950,1112407,1.8,2049,1114866,1.8,2077,1126298,1.9,2210,1135494,2.0,2245,1147256,2.0,2324,1156480,2.0,2372,1166377,2.1,2504,1173534,2.2,2593,1172304,2.3,2639,1165132,2.3,2632,1155623,2.3,2668,1148019,2.4,2688,1136017,2.4,2714,1121592,2.5,2737,1110663,2.5,2790,1103661,2.5,2770,1098049
"세종특별자치시",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.2,140,113117,1.3,160,122153,1.3,208,156125,1.3,274,210884,1.3,323,243048,1.5,430,280100,1.5,480,314126,1.5,526,340575,1.9,687,355831,1.9,721,371895,2.0,770,383591,2.1,811,386525,2.2,849,390685
"경기도",1.7,18738,11106211,1.8,20232,11292264,1.9,21220,11460610,1.9,22154,11786622,1.9,23246,11937415,2.0,24059,12093299,2.1,25145,12234630,2.1,25826,12357830,2.1,26720,12522606,2.2,27728,12716780,2.3,29038,12873895,2.3,30130,13077153,2.4,31510,13239666,2.4,32830,13427014,2.5,33919,13565450,2.6,35401,13589432,2.7,36309,13630821,2.7,36498,13694685
"강원특별자치도",2.0,3012,1503806,2.1,3137,1508575,2.1,3245,1512870,2.2,3337,1529818,2.2,3331,1536448,2.2,3388,1538630,2.2,3468,1542263,2.3,3548,1544442,2.3,3634,1549507,2.4,3696,1550806,2.4,3779,1550142,2.5,3818,1543052,2.5,3916,1541502,2.6,4031,1542840,2.7,4079,1538492,2.7,4077,1536498,2.7,4098,1527807,2.6,3917,1517766
"충청북도",1.7,2613,1506608,1.8,2758,1519587,1.9,2884,1527478,1.9,2964,1549528,1.9,3041,1562903,2.0,3078,1565628,2.0,3205,1572732,2.1,3299,1578933,2.2,3417,1583952,2.2,3523,1591625,2.3,3598,1594432,2.3,3701,1599252,2.4,3802,1600007,2.4,3832,1600837,2.4,3848,1597427,2.4,3884,1595058,2.4,3896,1593469,2.4,3872,1591177
"충청남도",1.8,3558,1995531,1.9,3788,2018537,1.9,3942,2037582,1.9,4029,2075514,2.0,4144,2101284,2.0,4124,2028777,2.1,4240,2047631,2.1,4395,2062273,2.2,4476,2077649,2.2,4584,2096727,2.3,4767,2116770,2.3,4817,2126282,2.3,4958,2123709,2.4,5013,2121029,2.4,5057,2119257,2.4,5052,2123037,2.4,5132,2130119,2.4,5135,2136574
"전북특별자치도",2.2,4014,1862277,2.3,4249,1855772,2.4,4468,1854508,2.4,4550,1868963,2.5,4601,1874031,2.5,4667,1873341,2.6,4905,1872965,2.7,5024,1871560,2.8,5205,1869711,2.8,5292,1864791,2.9,5407,1854607,3.0,5456,1836832,3.0,5540,1818917,3.1,5552,1804104,3.1,5560,1786855,3.1,5574,1769607,3.2,5599,1754757,3.1,5406,1738690
"전라남도",1.7,3357,1929836,1.9,3565,1919000,2.0,3745,1913004,2.0,3842,1918485,2.0,3922,1914339,2.1,4034,1909618,2.2,4187,1907172,2.2,4256,1905780,2.3,4333,1908996,2.4,4482,1903914,2.4,4603,1896424,2.5,4631,1882970,2.5,4725,1868745,2.6,4740,1851549,2.6,4816,1832803,2.6,4801,1817697,2.6,4750,1804217,2.6,4707,1788819
"경상북도",1.6,4188,2681364,1.6,4343,2673931,1.7,4515,2669876,1.7,4629,2689920,1.8,4750,2699195,1.8,4856,2698353,1.9,5040,2699440,1.9,5206,2700794,1.9,5212,2702826,2.0,5315,2700398,2.0,5470,2691706,2.1,5521,2676831,2.1,5646,2665836,2.1,5663,2639422,2.1,5636,2626609,2.2,5624,2600492,2.2,5638,2554324,2.3,5711,2531384
"경상남도",1.7,5313,3196953,1.8,5681,3225255,1.9,6042,3250176,1.9,6253,3290536,1.9,6444,3308765,2.0,6630,3319314,2.1,6849,3333820,2.1,7127,3350257,2.2,7278,3364702,2.3,7674,3373871,2.3,7880,3380404,2.4,7943,3373988,2.4,8159,3362553,2.5,8316,3340216,2.5,8371,3314183,2.6,8432,3280493,2.6,8465,3251158,2.6,8307,3228380
"제주특별자치도",1.7,953,559258,1.8,1034,560618,1.9,1092,562663,2.0,1142,571255,2.1,1183,576156,2.1,1224,583713,2.2,1330,593806,2.2,1365,607346,2.3,1438,624395,2.3,1498,641597,2.4,1594,657083,2.4,1633,667191,2.5,1694,670989,2.5,1714,674635,2.6,1742,676759,2.6,1780,678159,2.7,1801,675252,2.7,1813,670368
